#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room	Vacanc	NPupils	Priori	Special
4843 364 0 215 - 2 3 17 1 -1 40 - 0 - 
4844 364 0 215 - 2 4 17 1 -1 40 - 0 - 
4845 364 0 215 - 2 5 17 1 -1 40 - 0 - 
4847 364 0 215 - 3 2 17 1 -1 40 - 0 - 
4848 364 0 215 - 3 3 17 1 -1 40 - 0 - 
4849 364 0 215 - 3 4 17 1 -1 40 - 0 - 
4850 364 0 215 - 3 5 17 1 -1 40 - 0 - 
4851 364 0 215 - 4 2 17 1 -1 40 - 0 - 
4852 364 0 215 - 4 3 17 1 -1 40 - 0 - 
4853 364 0 215 - 4 4 17 1 -1 40 - 0 - 
4854 364 0 215 - 4 5 17 1 -1 40 - 0 - 
4868 364 0 215 - 5 3 17 1 -1 40 - 0 - 
4869 364 0 215 - 5 4 17 1 -1 40 - 0 - 
4870 364 0 215 - 5 5 17 1 -1 40 - 0 - 
4872 364 0 215 - 5 3 17 1 -1 40 - 0 - 
4873 364 0 215 - 5 4 17 1 -1 40 - 0 - 
4874 364 0 215 - 5 5 17 1 -1 40 - 0 - 
4877 360 0 278 - 1 4 17 1 -1 6 - 0 - 
4879 360 0 278 - 4 2 17 1 -1 6 - 0 - 
4880 360 0 278 - 4 3 17 1 -1 6 - 0 - 
4881 360 0 278 - 4 4 17 1 -1 6 - 0 - 
4882 360 0 278 - 4 5 17 1 -1 6 - 0 - 
4887 373 0 215 - 2 2 17 1 -1 40 - 0 - 
4888 373 0 215 - 2 3 17 1 -1 40 - 0 - 
4889 373 0 215 - 2 4 17 1 -1 40 - 0 - 
4890 373 0 215 - 2 5 17 1 -1 40 - 0 - 
4891 373 0 215 - 3 2 17 1 -1 40 - 0 - 
4892 373 0 215 - 3 3 17 1 -1 40 - 0 - 
4893 373 0 215 - 3 4 17 1 -1 40 - 0 - 
4894 373 0 215 - 3 5 17 1 -1 40 - 0 - 
4895 373 0 215 - 4 2 17 1 -1 40 - 0 - 
4896 373 0 215 - 4 3 17 1 -1 40 - 0 - 
4897 373 0 215 - 4 4 17 1 -1 40 - 0 - 
4898 373 0 215 - 4 5 17 1 -1 40 - 0 - 
4899 373 0 215 - 5 2 17 1 -1 40 - 0 - 
4900 373 0 215 - 5 3 17 1 -1 40 - 0 - 
4901 373 0 215 - 5 4 17 1 -1 40 - 0 - 
4902 373 0 215 - 5 5 17 1 -1 40 - 0 - 
4927 360 0 278 - 1 2 17 1 -1 6 - 0 - 
4928 360 0 278 - 1 3 17 1 -1 6 - 0 - 
4929 360 0 278 - 1 4 17 1 -1 6 - 0 - 
4931 360 0 278 - 4 2 17 1 -1 6 - 0 - 
4932 360 0 278 - 4 3 17 1 -1 6 - 0 - 
4933 360 0 278 - 4 4 17 1 -1 6 - 0 - 
4934 360 0 278 - 4 5 17 1 -1 6 - 0 - 
4957 360 0 278 - 1 2 17 1 -1 7 - 0 - 
4958 360 0 278 - 1 3 17 1 -1 7 - 0 - 
4959 360 0 278 - 1 4 17 1 -1 7 - 0 - 
4961 360 0 278 - 4 2 17 1 -1 7 - 0 - 
4962 360 0 278 - 4 3 17 1 -1 7 - 0 - 
4963 360 0 278 - 4 4 17 1 -1 7 - 0 - 
4964 360 0 278 - 4 5 17 1 -1 7 - 0 - 
5009 389 0 164 - 4 12 2 2 -1 55 - 0 - 
5010 389 0 164 - 4 13 2 2 -1 55 - 0 - 
5055 400 0 32 - 1 2 1 1 -1 60 - 0 - 
5056 400 0 32 - 1 3 1 1 -1 60 - 0 - 
5075 402 0 32 - 1 6 1 1 -1 50 - 0 - 
5076 402 0 32 - 1 7 1 1 -1 50 - 0 - 
5187 410 0 150 - 3 3 12 1 -1 45 - 0 - 
5274 420 0 218 - 1 2 17 1 -1 40 - 0 - 
5275 420 0 218 - 1 3 17 1 -1 40 - 0 - 
5276 420 0 218 - 1 4 17 1 -1 40 - 0 - 
5277 420 0 218 - 1 5 17 1 -1 40 - 0 - 
5280 421 0 218 - 1 2 17 1 -1 40 - 0 - 
5281 421 0 218 - 1 3 17 1 -1 40 - 0 - 
5282 421 0 218 - 1 4 17 1 -1 40 - 0 - 
5283 421 0 218 - 1 5 17 1 -1 40 - 0 - 
5286 422 0 218 - 1 2 17 1 -1 40 - 0 - 
5287 422 0 218 - 1 3 17 1 -1 40 - 0 - 
5288 422 0 218 - 1 4 17 1 -1 40 - 0 - 
5289 422 0 218 - 1 5 17 1 -1 40 - 0 - 
5291 288 0 218 - 2 5 17 1 -1 40 - 0 - 
5293 288 0 218 - 5 5 17 1 -1 40 - 0 - 
5299 419 0 13 - 1 2 4 2 -1 60 - 0 - 
5300 419 0 13 - 1 3 4 2 -1 60 - 0 - 
5301 419 0 13 - 1 4 4 2 -1 60 - 0 - 
5302 419 0 13 - 1 5 4 2 -1 60 - 0 - 
5303 419 0 13 - 3 2 4 1 -1 60 - 0 - 
5304 419 0 13 - 3 3 4 1 -1 60 - 0 - 
5305 419 0 13 - 3 4 4 1 -1 60 - 0 - 
5306 419 0 13 - 3 5 4 1 -1 60 - 0 - 
5307 423 0 13 - 2 2 4 1 -1 60 - 0 - 
5308 423 0 13 - 2 3 4 1 -1 60 - 0 - 
5309 423 0 13 - 2 4 4 1 -1 60 - 0 - 
5310 423 0 13 - 2 5 4 1 -1 60 - 0 - 
5311 423 0 13 - 3 2 4 1 -1 60 - 0 - 
5312 423 0 13 - 3 3 4 1 -1 60 - 0 - 
5313 423 0 13 - 3 4 4 1 -1 60 - 0 - 
5314 423 0 13 - 3 5 4 1 -1 60 - 0 - 
5315 423 0 13 - 4 2 4 1 -1 60 - 0 - 
5316 423 0 13 - 4 3 4 1 -1 60 - 0 - 
5317 423 0 13 - 4 4 4 1 -1 60 - 0 - 
5318 423 0 13 - 4 5 4 1 -1 60 - 0 - 
5327 424 0 13 - 1 2 4 2 -1 64 - 0 - 
5328 424 0 13 - 1 3 4 2 -1 64 - 0 - 
5329 424 0 13 - 1 4 4 2 -1 64 - 0 - 
5330 424 0 13 - 1 5 4 2 -1 64 - 0 - 
5331 424 0 13 - 2 2 4 1 -1 40 - 0 - 
5332 424 0 13 - 2 3 4 1 -1 40 - 0 - 
5333 424 0 13 - 2 4 4 1 -1 40 - 0 - 
5334 424 0 13 - 2 5 4 1 -1 40 - 0 - 
5335 424 0 13 - 3 6 2 2 -1 60 - 0 - 
5336 424 0 13 - 3 7 2 2 -1 60 - 0 - 
5337 424 0 13 - 3 8 2 2 -1 60 - 0 - 
5338 424 0 13 - 3 9 2 2 -1 60 - 0 - 
5339 424 0 13 - 4 2 4 2 -1 60 - 0 - 
5340 424 0 13 - 4 3 4 2 -1 60 - 0 - 
5341 424 0 13 - 4 4 4 2 -1 60 - 0 - 
5342 424 0 13 - 4 5 4 2 -1 60 - 0 - 
5347 425 0 218 - 2 5 17 1 -1 40 - 0 - 
5350 425 0 218 - 3 2 17 1 -1 40 - 0 - 
